,count,mean,std,min,25%,50%,75%,max
age,1025.0,54.43414634146342,9.072290233244281,29.0,48.0,56.0,61.0,77.0
sex,1025.0,0.6956097560975609,0.4603733241196503,0.0,0.0,1.0,1.0,1.0
cp,1025.0,0.9424390243902439,1.0296407436458572,0.0,0.0,1.0,2.0,3.0
trestbps,1025.0,131.61170731707318,17.516718005376408,94.0,120.0,130.0,140.0,200.0
chol,1025.0,246.0,51.59251020618206,126.0,211.0,240.0,275.0,564.0
fbs,1025.0,0.14926829268292682,0.3565266897271594,0.0,0.0,0.0,0.0,1.0
restecg,1025.0,0.5297560975609756,0.5278775668748926,0.0,0.0,1.0,1.0,2.0
thalach,1025.0,149.11414634146342,23.005723745977196,71.0,132.0,152.0,166.0,202.0
exang,1025.0,0.33658536585365856,0.4727723760037095,0.0,0.0,0.0,1.0,1.0
oldpeak,1025.0,1.0715121951219515,1.175053255150173,0.0,0.0,0.8,1.8,6.2
slope,1025.0,1.3853658536585365,0.6177552671745906,0.0,1.0,1.0,2.0,2.0
ca,1025.0,0.7541463414634146,1.0307976650242847,0.0,0.0,0.0,1.0,4.0
thal,1025.0,2.32390243902439,0.620660238051028,0.0,2.0,2.0,3.0,3.0
target,1025.0,0.5131707317073171,0.5000704980788051,0.0,0.0,1.0,1.0,1.0
